delta_id,questioner_full_r1,questioner_full_r2,questioner_full_r3,questioner_full_r4,questioner_full_r5,solver_rank1_r1,solver_rank1_r2,solver_rank1_r3,solver_rank1_r4,solver_rank1_r5,solver_full_r1,solver_full_r2,solver_full_r3,solver_full_r4,solver_full_r5
questioner_full_r1,1.0,0.014866731538704478,0.015687630152527634,0.011119582525750156,0.005036652385282873,0.10401173087972083,0.07821219908097274,0.06927853511371429,0.08521068064657132,0.08138002141688606,0.09154472511023903,0.06423760901558682,0.057882618215902175,0.07138730084712912,0.06580869228570436
questioner_full_r2,0.014866731538704478,0.9999999999999998,0.028130633118413153,0.026810059888316515,0.012418540242345186,0.014147272671947318,0.009853555200871987,0.009011574183430595,0.008858091224823948,0.00809766497518172,0.014039777352005529,0.009388492268984956,0.008839592337907341,0.008775703339612794,0.007923072005634364
questioner_full_r3,0.015687630152527634,0.028130633118413153,0.9999999999999998,0.03588501876694785,0.02396216550439951,0.0169661913267939,0.011468482162784495,0.010265188994759162,0.01177963086731198,0.01240306075833794,0.016996131472683484,0.011287155061274425,0.00974067507266275,0.011415214189101292,0.012142006130083373
questioner_full_r4,0.011119582525750156,0.026810059888316515,0.03588501876694785,1.0,0.023067684228102462,0.018651121700079685,0.015554868120393514,0.009679351934820597,0.015274410137020415,0.008796563341583775,0.018433954442888454,0.015300048776460889,0.009903156185570732,0.015301471298325096,0.008588066006095667
questioner_full_r5,0.005036652385282873,0.012418540242345186,0.02396216550439951,0.023067684228102462,1.0,0.004439475203573385,0.005889233425855593,0.002219228343342154,0.004155050386637215,0.002635693601056398,0.004259344905502047,0.005728449274869155,0.002706516549165211,0.004021064631740026,0.0021751346870264483
solver_rank1_r1,0.10401173087972083,0.014147272671947318,0.0169661913267939,0.018651121700079685,0.004439475203573385,1.0,0.28333880591192306,0.28346534979087795,0.24229691773293452,0.2610527453931263,0.8658710469254915,0.2553858239510854,0.2543682231780001,0.22154008150580148,0.22811388324313048
solver_rank1_r2,0.07821219908097274,0.009853555200871987,0.011468482162784495,0.015554868120393514,0.005889233425855593,0.28333880591192306,1.0,0.2515032605108866,0.22787023241526083,0.22374778010892127,0.2632484764548411,0.8374008146379781,0.23206164248403757,0.21110575289126093,0.19382873818001195
solver_rank1_r3,0.06927853511371429,0.009011574183430595,0.010265188994759162,0.009679351934820597,0.002219228343342154,0.28346534979087795,0.2515032605108866,1.0,0.21625549968527208,0.22605831008821936,0.26006070446594937,0.22864893729233185,0.8262842925095726,0.2028386343735031,0.19964881575203372
solver_rank1_r4,0.08521068064657132,0.008858091224823948,0.01177963086731198,0.015274410137020415,0.004155050386637215,0.24229691773293452,0.22787023241526083,0.21625549968527208,0.9999999999999999,0.216298647771203,0.22142453275328022,0.20336975802053586,0.19550229729858273,0.8274695414412332,0.19072404182443453
solver_rank1_r5,0.08138002141688606,0.00809766497518172,0.01240306075833794,0.008796563341583775,0.002635693601056398,0.2610527453931263,0.22374778010892127,0.22605831008821936,0.216298647771203,1.0,0.23595346994304192,0.19695443048536998,0.20131688819913782,0.19674974742859888,0.82071234843812
solver_full_r1,0.09154472511023903,0.014039777352005529,0.016996131472683484,0.018433954442888454,0.004259344905502047,0.8658710469254915,0.2632484764548411,0.26006070446594937,0.22142453275328022,0.23595346994304192,1.0,0.24362925129790605,0.23858378927657342,0.20754602110435427,0.2118655269244556
solver_full_r2,0.06423760901558682,0.009388492268984956,0.011287155061274425,0.015300048776460889,0.005728449274869155,0.2553858239510854,0.8374008146379781,0.22864893729233185,0.20336975802053586,0.19695443048536998,0.24362925129790605,0.9999999999999998,0.21836727953325863,0.19562871203308752,0.17771900063879137
solver_full_r3,0.057882618215902175,0.008839592337907341,0.00974067507266275,0.009903156185570732,0.002706516549165211,0.2543682231780001,0.23206164248403757,0.8262842925095726,0.19550229729858273,0.20131688819913782,0.23858378927657342,0.21836727953325863,1.0,0.19137955108387655,0.18512441521906708
solver_full_r4,0.07138730084712912,0.008775703339612794,0.011415214189101292,0.015301471298325096,0.004021064631740026,0.22154008150580148,0.21110575289126093,0.2028386343735031,0.8274695414412332,0.19674974742859888,0.20754602110435427,0.19562871203308752,0.19137955108387655,1.0,0.18136769817161397
solver_full_r5,0.06580869228570436,0.007923072005634364,0.012142006130083373,0.008588066006095667,0.0021751346870264483,0.22811388324313048,0.19382873818001195,0.19964881575203372,0.19072404182443453,0.82071234843812,0.2118655269244556,0.17771900063879137,0.18512441521906708,0.18136769817161397,1.0
