delta_id,questioner_full_r1,questioner_full_r2,questioner_full_r3,questioner_full_r4,questioner_full_r5,solver_rank1_r1,solver_rank1_r2,solver_rank1_r3,solver_rank1_r4,solver_rank1_r5,solver_full_r1,solver_full_r2,solver_full_r3,solver_full_r4,solver_full_r5
questioner_full_r1,0.024873530042132403,0.0023928435579483364,0.0025638482655230277,0.001832961198081129,0.0008317537693292576,0.0037880701516467205,0.0029143490252100147,0.0024830972991295025,0.0029519786883046052,0.002851777372886343,0.003628776106840363,0.002658417228239427,0.002327337461903303,0.002782480285044426,0.0025832495149515668
questioner_full_r2,0.0023928435579483364,1.0415021931099147,0.029749239351215484,0.02859722914630558,0.013270421906011576,0.003334032244930535,0.0023758630374018513,0.0020900519732101504,0.0019857323637856583,0.0018361958684418866,0.0036012100309828765,0.0025141489870941502,0.0022998780674923364,0.0022133721953722374,0.0020125101558953404
questioner_full_r3,0.0025638482655230277,0.029749239351215484,1.0738225742869143,0.03886650769334499,0.026000183644777186,0.004059921180744441,0.002807828390747169,0.0024174613742944107,0.002681318578263092,0.00285577667900061,0.0044266428414203585,0.003069133777988453,0.002573343739138978,0.002923430351627454,0.0031316346957626084
questioner_full_r4,0.001832961198081129,0.02859722914630558,0.03886650769334499,1.092426316358036,0.025245510769294932,0.0045016114832091,0.0038411455413390194,0.0022991573093097406,0.0035067999827050333,0.0020428581795947087,0.004842534492784323,0.004196178507059001,0.0026388346969301035,0.0039524982910303375,0.0022341165919813055
questioner_full_r5,0.0008317537693292576,0.013270421906011576,0.026000183644777186,0.025245510769294932,1.0963978479723473,0.0010734521719939494,0.0014569384614826764,0.0005280954271844884,0.000955676381470455,0.0006132084293255236,0.0011209468796052335,0.001573932929865185,0.0007224990071841852,0.0010405610438610213,0.0005668715023851578
solver_rank1_r1,0.0037880701516467205,0.003334032244930535,0.004059921180744441,0.0045016114832091,0.0010734521719939494,0.05332537945562506,0.015458643766796572,0.014876243749925813,0.012290380765789526,0.01339443345252267,0.05025489052988566,0.015474934755930286,0.014975189062218813,0.012643336897278784,0.013110917310974413
solver_rank1_r2,0.0029143490252100147,0.0023758630374018513,0.002807828390747169,0.0038411455413390194,0.0014569384614826764,0.015458643766796572,0.05582088343703643,0.01350418259743287,0.011825960366114198,0.011745897175581388,0.015632281076035787,0.051915470532539296,0.01397797292687289,0.012326530177014176,0.011398059104545472
solver_rank1_r3,0.0024830972991295025,0.0020900519732101504,0.0024174613742944107,0.0022991573093097406,0.0005280954271844884,0.014876243749925813,0.01350418259743287,0.051647898891753474,0.01079552982037943,0.011414999917345237,0.014854539742887474,0.013635170699290405,0.04787384470977725,0.011392510282000418,0.011292951191840948
solver_rank1_r4,0.0029519786883046052,0.0019857323637856583,0.002681318578263092,0.0035067999827050333,0.000955676381470455,0.012290380765789526,0.011825960366114198,0.01079552982037943,0.04825040269187572,0.010556826456478707,0.012224591180103911,0.011722005094704668,0.01094825279370873,0.044920533941550836,0.01042726224776816
solver_rank1_r5,0.002851777372886343,0.0018361958684418866,0.00285577667900061,0.0020428581795947087,0.0006132084293255236,0.01339443345252267,0.011745897175581388,0.011414999917345237,0.010556826456478707,0.04936944141635086,0.01317691096190532,0.011483120553897622,0.01140385787235329,0.010804028278852351,0.04538731147754699
solver_full_r1,0.003628776106840363,0.0036012100309828765,0.0044266428414203585,0.004842534492784323,0.0011209468796052335,0.05025489052988566,0.015632281076035787,0.014854539742887474,0.012224591180103911,0.01317691096190532,0.06317078478694728,0.016067659860818054,0.015287678768213978,0.0128918418742332,0.013253568195503829
solver_full_r2,0.002658417228239427,0.0025141489870941502,0.003069133777988453,0.004196178507059001,0.001573932929865185,0.015474934755930286,0.051915470532539296,0.013635170699290405,0.011722005094704668,0.011483120553897622,0.016067659860818054,0.06885415067393015,0.014608146206095907,0.012686449073434053,0.011606821582747895
solver_full_r3,0.002327337461903303,0.0022998780674923364,0.002573343739138978,0.0026388346969301035,0.0007224990071841852,0.014975189062218813,0.01397797292687289,0.04787384470977725,0.01094825279370873,0.01140385787235329,0.015287678768213978,0.014608146206095907,0.06499575021206923,0.012058143112521236,0.011746826750357903
solver_full_r4,0.002782480285044426,0.0022133721953722374,0.002923430351627454,0.0039524982910303375,0.0010405610438610213,0.012643336897278784,0.012326530177014176,0.011392510282000418,0.044920533941550836,0.010804028278852351,0.0128918418742332,0.012686449073434053,0.012058143112521236,0.061078005112158745,0.011156211693843593
solver_full_r5,0.0025832495149515668,0.0020125101558953404,0.0031316346957626084,0.0022341165919813055,0.0005668715023851578,0.013110917310974413,0.011398059104545472,0.011292951191840948,0.01042726224776816,0.04538731147754699,0.013253568195503829,0.011606821582747895,0.011746826750357903,0.011156211693843593,0.06194821070163831
