delta_id,end,family,fraction_global_delta_norm_sq,group,group_type,l2_norm,parameter_count,previous_round_cosine,relative_l2,rms,round,start,start_l2_norm
questioner_full_r1,q1,questioner_full,0.05886624750242059,embedding,layer,0.03826501503617972,388956160,,8.575202648056228e-05,1.940222610535894e-06,1,base,446.22869693759816
questioner_full_r2,q2,questioner_full,0.11195300605449794,embedding,layer,0.3414663985387247,388956160,0.09377475148224074,0.0007652273765615531,1.7314009325664146e-05,2,q1,446.2286752900272
questioner_full_r3,q3,questioner_full,0.13844462270967298,embedding,layer,0.3855709547596676,388956160,0.14423526628153388,0.0008640630620927396,1.9550325112463542e-05,3,q2,446.23010943879973
questioner_full_r4,q4,questioner_full,0.1459535302484687,embedding,layer,0.3993037407898727,388956160,0.2151395635814508,0.0008948349358436692,2.0246644241993814e-05,4,q3,446.23172922210586
questioner_full_r5,q5,questioner_full,0.10806764796833349,embedding,layer,0.3442167001583654,388956160,0.1555261853446815,0.0007713828910170723,1.7453463011574767e-05,5,q4,446.23325739635465
solver_rank1_r1,r1,solver_rank1,0.11083137190002362,embedding,layer,0.0768773371167099,388956160,,0.0001722823692073319,3.898055379583683e-06,1,base,446.22869693759816
solver_rank1_r2,r2,solver_rank1,0.06919118727116165,embedding,layer,0.062147511611758625,388956160,0.35006482220599966,0.0001392727810610744,3.151181493164638e-06,2,base,446.22869693759816
solver_rank1_r3,r3,solver_rank1,0.06298471856350443,embedding,layer,0.05703532568587143,388956160,0.3519822057622009,0.00012781635532922126,2.891968770700228e-06,3,base,446.22869693759816
solver_rank1_r4,r4,solver_rank1,0.07349062951871457,embedding,layer,0.05954790062090709,388956160,0.3462448588785738,0.00013344704414927942,3.019368555987459e-06,4,base,446.22869693759816
solver_rank1_r5,r5,solver_rank1,0.05596124532689911,embedding,layer,0.05256211014364229,388956160,0.30718813118253774,0.00011779186436096179,2.6651549584326125e-06,5,base,446.22869693759816
solver_full_r1,a1,solver_full,0.10605110241607887,embedding,layer,0.08184944329159866,388956160,,0.00018342487574940681,4.15016537649295e-06,1,base,446.22869693759816
