delta_id,end,family,fraction_global_delta_norm_sq,group,group_type,l2_norm,parameter_count,previous_round_cosine,relative_l2,rms,round,start,start_l2_norm
questioner_full_r1,q1,questioner_full,0.03010330773225913,attention_k,module,0.027363763068077904,94371840,,0.0001268509400127415,2.816790906520941e-06,1,base,215.7158872084776
questioner_full_r2,q2,questioner_full,0.024710759333320745,attention_k,module,0.16042540334705363,94371840,0.0059599194396253155,0.0007436884065493912,1.651398662525681e-05,2,q1,215.71588575839814
questioner_full_r3,q3,questioner_full,0.024759218149693937,attention_k,module,0.16305522797762614,94371840,0.013321494041975676,0.0007558796558958755,1.678469742211293e-05,3,q2,215.71585728732387
questioner_full_r4,q4,questioner_full,0.02495953203977365,attention_k,module,0.16512555721096087,94371840,0.007185563835728978,0.0007654772130098029,1.6997814475621e-05,4,q3,215.71583634958736
questioner_full_r5,q5,questioner_full,0.02607586142269823,attention_k,module,0.16908435275882713,94371840,0.0020828567441665904,0.0007838292116145803,1.7405327845484007e-05,5,q4,215.71580932858654
solver_rank1_r1,r1,solver_rank1,0.026542410023279322,attention_k,module,0.03762159069149198,94371840,,0.0001744034302634964,3.872718612750772e-06,1,base,215.7158872084776
solver_rank1_r2,r2,solver_rank1,0.028349394048999662,attention_k,module,0.03978050050866409,94371840,0.2806633725197954,0.00018441154716721637,4.094954038700042e-06,2,base,215.7158872084776
solver_rank1_r3,r3,solver_rank1,0.027763533596774487,attention_k,module,0.03786724410468775,94371840,0.23267775370575652,0.00017554221246621085,3.898005862122293e-06,3,base,215.7158872084776
solver_rank1_r4,r4,solver_rank1,0.02790750412352701,attention_k,module,0.03669534455602455,94371840,0.20550380190774237,0.00017010960588433854,3.777372015680267e-06,4,base,215.7158872084776
solver_rank1_r5,r5,solver_rank1,0.03001950304550706,attention_k,module,0.03849735181740592,94371840,0.22167972754419854,0.00017846321991203334,3.962868347259938e-06,5,base,215.7158872084776
solver_full_r1,a1,solver_full,0.026892744925469923,attention_k,module,0.04121693586400048,94371840,,0.0001910704695763394,4.242818864040416e-06,1,base,215.7158872084776
solver_full_r2,a2,solver_full,0.028286418128865048,attention_k,module,0.04413204386690767,94371840,0.22992138603472168,0.0002045841149579144,4.5428963677699566e-06,2,base,215.7158872084776
solver_full_r3,a3,solver_full,0.02791902744103664,attention_k,module,0.04259833487029187,94371840,0.19356803833479896,0.00019747425848668675,4.385018317730978e-06,3,base,215.7158872084776
solver_full_r4,a4,solver_full,0.027834976936596447,attention_k,module,0.04123232789487223,94371840,0.1738231149425241,0.00019114182283210064,4.244403300087629e-06,4,base,215.7158872084776
solver_full_r5,a5,solver_full,0.029543804268307966,attention_k,module,0.04278067100620446,94371840,0.17795859015889762,0.00019831951906657336,4.403787767250438e-06,5,base,215.7158872084776
questioner_full_r1,q1,questioner_full,0.11103799272280862,attention_o,module,0.05255384712662679,377487360,,0.00011798553892124697,2.7049130326242853e-06,1,base,445.4261734711866
questioner_full_r2,q2,questioner_full,0.09111697286276556,attention_o,module,0.308056045332837,377487360,0.01152706457921747,0.0006915984425776961,1.5855448408786586e-05,2,q1,445.426169822858
questioner_full_r3,q3,questioner_full,0.09007668221627153,attention_o,module,0.31100864100648556,377487360,0.01377895176384102,0.0006982272557998385,1.6007416627183214e-05,3,q2,445.42609647945727
questioner_full_r4,q4,questioner_full,0.09058739756642019,attention_o,module,0.3145791745045201,377487360,0.009640292462672714,0.0007062433462653011,1.619118971174893e-05,4,q3,445.4260364618686
questioner_full_r5,q5,questioner_full,0.09404422197855834,attention_o,module,0.3211072758308742,377487360,0.005513744073731255,0.0007208993033272273,1.6527186928344714e-05,5,q4,445.42597606744897
solver_rank1_r1,r1,solver_rank1,0.10653530532785846,attention_o,module,0.07537264478594954,377487360,,0.00016921467411439665,3.879382011627847e-06,1,base,445.4261734711866
solver_rank1_r2,r2,solver_rank1,0.11532163552187476,attention_o,module,0.08023313264627632,377487360,0.30541501749926775,0.00018012666840168607,4.129548225466242e-06,2,base,445.4261734711866
solver_rank1_r3,r3,solver_rank1,0.11436864340303855,attention_o,module,0.07685636038004365,377487360,0.2710298437264391,0.00017254567638247525,3.955747908067418e-06,3,base,445.4261734711866
solver_rank1_r4,r4,solver_rank1,0.11114685839344185,attention_o,module,0.07323169174217169,377487360,0.23766998404844322,0.00016440814685738005,3.7691885223406037e-06,4,base,445.4261734711866
solver_rank1_r5,r5,solver_rank1,0.11189381643181624,attention_o,module,0.0743245263367515,377487360,0.23227504605125834,0.0001668616052746603,3.825436022742604e-06,5,base,445.4261734711866
solver_full_r1,a1,solver_full,0.10727683318893008,attention_o,module,0.08232108929067415,377487360,,0.00018481421657184964,4.237014023838302e-06,1,base,445.4261734711866
solver_full_r2,a2,solver_full,0.11549460025053174,attention_o,module,0.08917557181019611,377487360,0.259117354518567,0.00020020281052470447,4.589809872528064e-06,2,base,445.4261734711866
solver_full_r3,a3,solver_full,0.11361727949640488,attention_o,module,0.08593392995739917,377487360,0.2318140432139497,0.00019292519181735512,4.422964631425092e-06,3,base,445.4261734711866
