tensor,layer,module,delta_id,family,round,parameter_count,l2_norm
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,questioner_full_r1,questioner_full,1,10485760,0.010347503208538387
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,questioner_full_r2,questioner_full,2,10485760,0.05305829460474414
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,questioner_full_r3,questioner_full,3,10485760,0.053439161891733776
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,questioner_full_r4,questioner_full,4,10485760,0.05407683736225151
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,questioner_full_r5,questioner_full,5,10485760,0.05454725177663825
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_rank1_r1,solver_rank1,1,10485760,0.013337541157368266
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_rank1_r2,solver_rank1,2,10485760,0.01419631044284465
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_rank1_r3,solver_rank1,3,10485760,0.013572019579893296
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_rank1_r4,solver_rank1,4,10485760,0.013208611069893244
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_rank1_r5,solver_rank1,5,10485760,0.013075850792571623
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_full_r1,solver_full,1,10485760,0.01461476915330539
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_full_r2,solver_full,2,10485760,0.015908979679238718
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_full_r3,solver_full,3,10485760,0.015425957260153448
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_full_r4,solver_full,4,10485760,0.015070701197617001
model.layers.20.self_attn.o_proj.weight,layer_20,attention_o,solver_full_r5,solver_full,5,10485760,0.014888046719226252
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,questioner_full_r1,questioner_full,1,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,questioner_full_r2,questioner_full,2,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,questioner_full_r3,questioner_full,3,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,questioner_full_r4,questioner_full,4,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,questioner_full_r5,questioner_full,5,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_rank1_r1,solver_rank1,1,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_rank1_r2,solver_rank1,2,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_rank1_r3,solver_rank1,3,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_rank1_r4,solver_rank1,4,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_rank1_r5,solver_rank1,5,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_full_r1,solver_full,1,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_full_r2,solver_full,2,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_full_r3,solver_full,3,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_full_r4,solver_full,4,128,0.0
model.layers.11.self_attn.q_norm.weight,layer_11,normalization,solver_full_r5,solver_full,5,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,questioner_full_r1,questioner_full,1,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,questioner_full_r2,questioner_full,2,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,questioner_full_r3,questioner_full,3,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,questioner_full_r4,questioner_full,4,128,3.0517578125e-05
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,questioner_full_r5,questioner_full,5,128,3.0517578125e-05
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_rank1_r1,solver_rank1,1,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_rank1_r2,solver_rank1,2,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_rank1_r3,solver_rank1,3,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_rank1_r4,solver_rank1,4,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_rank1_r5,solver_rank1,5,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_full_r1,solver_full,1,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_full_r2,solver_full,2,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_full_r3,solver_full,3,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_full_r4,solver_full,4,128,0.0
model.layers.13.self_attn.q_norm.weight,layer_13,normalization,solver_full_r5,solver_full,5,128,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,questioner_full_r1,questioner_full,1,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,questioner_full_r2,questioner_full,2,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,questioner_full_r3,questioner_full,3,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,questioner_full_r4,questioner_full,4,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,questioner_full_r5,questioner_full,5,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_rank1_r1,solver_rank1,1,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_rank1_r2,solver_rank1,2,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_rank1_r3,solver_rank1,3,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_rank1_r4,solver_rank1,4,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_rank1_r5,solver_rank1,5,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_full_r1,solver_full,1,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_full_r2,solver_full,2,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_full_r3,solver_full,3,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_full_r4,solver_full,4,2560,0.0
model.layers.14.input_layernorm.weight,layer_14,normalization,solver_full_r5,solver_full,5,2560,0.0
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,questioner_full_r1,questioner_full,1,24903680,0.01474166542459725
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,questioner_full_r2,questioner_full,2,24903680,0.07885430816284188
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,questioner_full_r3,questioner_full,3,24903680,0.08130346748930041
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,questioner_full_r4,questioner_full,4,24903680,0.07854272859591147
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,questioner_full_r5,questioner_full,5,24903680,0.08092325961631512
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_rank1_r1,solver_rank1,1,24903680,0.020662227980133074
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_rank1_r2,solver_rank1,2,24903680,0.021818789739759724
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_rank1_r3,solver_rank1,3,24903680,0.021695238411061253
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_rank1_r4,solver_rank1,4,24903680,0.01953988743411936
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_rank1_r5,solver_rank1,5,24903680,0.01935943899425693
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_full_r1,solver_full,1,24903680,0.02254709674023666
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_full_r2,solver_full,2,24903680,0.024460657404115408
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_full_r3,solver_full,3,24903680,0.023421277731546973
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_full_r4,solver_full,4,24903680,0.022374619360028346
model.layers.16.mlp.up_proj.weight,layer_16,mlp_up,solver_full_r5,solver_full,5,24903680,0.02220006320091965
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,questioner_full_r1,questioner_full,1,2621440,0.004069836403537306
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,questioner_full_r2,questioner_full,2,2621440,0.02202462732434406
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,questioner_full_r3,questioner_full,3,2621440,0.0235504138156109
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,questioner_full_r4,questioner_full,4,2621440,0.02407301757481472
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,questioner_full_r5,questioner_full,5,2621440,0.025209327522076837
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_rank1_r1,solver_rank1,1,2621440,0.006037261905736402
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_rank1_r2,solver_rank1,2,2621440,0.00635887650757778
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_rank1_r3,solver_rank1,3,2621440,0.006336412822800236
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_rank1_r4,solver_rank1,4,2621440,0.0055157141875383
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_rank1_r5,solver_rank1,5,2621440,0.006499886642842595
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_full_r1,solver_full,1,2621440,0.0065669341725136405
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_full_r2,solver_full,2,2621440,0.007025511368216559
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_full_r3,solver_full,3,2621440,0.007030542040199571
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_full_r4,solver_full,4,2621440,0.006195620264992996
